district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Adelaide,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-179.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-179.htm,"ELLIS, Kate",Australian Labor Party,109217,95544,3118,98662,90.34,8894,"COLOVIC, David",Liberal,34809,"ELLIS, Kate",Australian Labor Party,52219,"COLOVIC, David",Liberal,43325,8894,True,17894
Aston,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-197.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-197.htm,"TUDGE, Alan",Liberal,96043,85586,3525,89111,92.78,14698,"TUDGE, Alan",Liberal,43532,"TUDGE, Alan",Liberal,50142,"KLISARIS, Paul",Australian Labor Party,35444,14698,False,6610
Ballarat,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-198.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-198.htm,"KING, Catherine",Australian Labor Party,110755,97707,5461,103168,93.15,14297,"KING, Catherine",Australian Labor Party,42275,"KING, Catherine",Australian Labor Party,56002,"WADE, Sarah",Liberal,41705,14297,False,13727
Banks,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-103.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-103.htm,"COLEMAN, David",Liberal,104891,89832,6656,96488,91.99,2588,"COLEMAN, David",Liberal,39423,"COLEMAN, David",Liberal,46210,"GAMBIAN, Chris",Labor,43622,2588,False,6787
Barker,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-180.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-180.htm,"PASIN, Tony",Liberal,105600,94445,4228,98673,93.44,8951,"PASIN, Tony",Liberal,44001,"PASIN, Tony",Liberal,51698,"STACEY, James",Nick Xenophon Team,42747,8951,False,7697
Barton,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-104.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-104.htm,"BURNEY, Linda",Australian Labor Party,106511,87702,7991,95693,89.84,14560,"BURNEY, Linda",Labor,41878,"BURNEY, Linda",Labor,51131,"VARVARIS, Nickolas",Liberal,36571,14560,False,9253
Bass,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-192.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-192.htm,"HART, Ross",Australian Labor Party,73555,66175,2729,68904,93.68,8063,"HART, Ross",Australian Labor Party,26803,"HART, Ross",Australian Labor Party,37119,"NIKOLIC, Andrew",Liberal,29056,8063,False,10316
Batman,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-199.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-199.htm,"FEENEY, David",Australian Labor Party,108935,90101,7601,97702,89.69,1853,"BHATHAL, Alex",The Greens,32645,"FEENEY, David",Australian Labor Party,45977,"BHATHAL, Alex",The Greens,44124,1853,True,14197
Bendigo,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-200.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-200.htm,"CHESTERS, Lisa",Australian Labor Party,109604,97503,4705,102208,93.25,7293,"CHESTERS, Lisa",Australian Labor Party,37396,"CHESTERS, Lisa",Australian Labor Party,52398,"PURCELL, Megan",Liberal,45105,7293,False,15002
Bennelong,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-105.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-105.htm,"ALEXANDER, John",Liberal,105962,92231,4942,97173,91.71,17923,"ALEXANDER, John",Liberal,46497,"ALEXANDER, John",Liberal,55077,"HOWISON, Lyndal",Labor,37154,17923,False,8580
Berowra,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-106.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-106.htm,"LEESER, Julian",Liberal,105245,94017,4082,98099,93.21,30923,"LEESER, Julian",Liberal,53678,"LEESER, Julian",Liberal,62470,"ANDREWS, Josh",Labor,31547,30923,False,8792
Blair,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-304.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-304.htm,"NEUMANN, Shayne",Australian Labor Party,98368,85187,5120,90307,91.81,15129,"NEUMANN, Shayne",Australian Labor Party,35691,"NEUMANN, Shayne",Australian Labor Party,50158,"HARDING, Teresa",Liberal National Party of Queensland,35029,15129,False,14467
Blaxland,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-107.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-107.htm,"CLARE, Jason",Australian Labor Party,103506,79885,10429,90314,87.25,31129,"CLARE, Jason",Labor,50572,"CLARE, Jason",Labor,55507,"FINDLAY, Felicity",Liberal,24378,31129,False,4935
Bonner,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-310.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-310.htm,"VASTA, Ross",Liberal National Party,100799,89909,2838,92747,92.01,6095,"VASTA, Ross",Liberal National Party of Queensland,41756,"VASTA, Ross",Liberal National Party of Queensland,48002,"FRASER HARDY, Laura",Australian Labor Party,41907,6095,False,6246
Boothby,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-182.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-182.htm,"FLINT, Nicolle",Liberal,107325,95288,4374,99662,92.86,6672,"FLINT, Nicolle",Liberal,39298,"FLINT, Nicolle",Liberal,50980,"WARD, Mark",Australian Labor Party,44308,6672,False,11682
